record_id,source,source_record_id,crop_label,crop_class_id,source_crop_name,location_hobli,location_taluk,location_village,location_district,lat,lon,year,season,survey_date,spatial_match_distance_km,temporal_match_status,tabular_source,image_source,ndvi_available,evi_available,satellite_status
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9892967_75.1114626,government_ogd,BANTVALA_AJJIBETTU_2020_Kharif_2020-09-04_12.9892967,coconut,4,Coconut,BANTVALA,Bantwal,AJJIBETTU,Dakshina Kannada,12.9892967,75.1114626,2020,Kharif,2020-09-04,0.1648,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9647662_75.1214065,government_ogd,BANTVALA_AJJIBETTU_2020_Kharif_2020-10-09_12.9647662,coconut,4,Coconut,BANTVALA,Bantwal,AJJIBETTU,Dakshina Kannada,12.9647662,75.1214065,2020,Kharif,2020-10-09,0.0939,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9720379_75.1198225,government_ogd,BANTVALA_AJJIBETTU_2020_Kharif_2020-09-03_12.9720379,coconut,4,Coconut,BANTVALA,Bantwal,AJJIBETTU,Dakshina Kannada,12.9720379,75.1198225,2020,Kharif,2020-09-03,0.082,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9849992_75.1127707,government_ogd,BANTVALA_AJJIBETTU_2020_Kharif_2020-10-11_12.9849992,coconut,4,Coconut,BANTVALA,Bantwal,AJJIBETTU,Dakshina Kannada,12.9849992,75.1127707,2020,Kharif,2020-10-11,0.0892,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AJJIBETTU_2020_Kharif_pepper_12.9690684_75.1116328,government_ogd,BANTVALA_AJJIBETTU_2020_Kharif_2020-10-11_12.9690684,pepper,6,Pepper (Black),BANTVALA,Bantwal,AJJIBETTU,Dakshina Kannada,12.9690684,75.1116328,2020,Kharif,2020-10-11,0.2104,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.9106058_75.0263147,government_ogd,BANTVALA_AMTADI_2020_Kharif_2020-09-24_12.9106058,coconut,4,Coconut,BANTVALA,Bantwal,AMTADI,Dakshina Kannada,12.9106058,75.0263147,2020,Kharif,2020-09-24,0.2354,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.900746_75.0195534,government_ogd,BANTVALA_AMTADI_2020_Kharif_2020-10-07_12.900746,coconut,4,Coconut,BANTVALA,Bantwal,AMTADI,Dakshina Kannada,12.900746,75.0195534,2020,Kharif,2020-10-07,0.151,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AJJIBETTU_2020_Kharif_coconut_12.9648397_75.0993264,government_ogd,BANTVALA_AJJIBETTU_2020_Kharif_2020-09-05_12.9648397,coconut,4,Coconut,BANTVALA,Bantwal,AJJIBETTU,Dakshina Kannada,12.9648397,75.0993264,2020,Kharif,2020-09-05,0.0893,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.8972421_75.0155495,government_ogd,BANTVALA_AMTADI_2020_Kharif_2020-08-15_12.8972421,coconut,4,Coconut,BANTVALA,Bantwal,AMTADI,Dakshina Kannada,12.8972421,75.0155495,2020,Kharif,2020-08-15,0.1348,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
gov_BANTVALA_AMTADI_2020_Kharif_coconut_12.904036_75.0397079,government_ogd,BANTVALA_AMTADI_2020_Kharif_2020-10-14_12.904036,coconut,4,Coconut,BANTVALA,Bantwal,AMTADI,Dakshina Kannada,12.904036,75.0397079,2020,Kharif,2020-10-14,0.2188,EXACT_SEASON,district_grid,sentinel2,True,True,FULL
